ID,Tweet Text,Relevance,Information Type,Event
[1066481265375932416],['اكثر من خمسة عشر سنة منذ بداية مشروع سد واد الليث وزارة البيئة الان تقول الموجود حاجز ترابي وتقول مافيه داعي للقلق يا اهل الليث طولوا بالكم .\nوايضا تقول لايوجد معوقات لبناء السد ممكن الوقت بس كان ضيق ١٥ سنة.\n(اغرقوا بس لاتقلقوا) https://t.co/pD8HghWq8C'],Related,Infrastructure and utilities damage,Al Lith floods
[1066481258212089856],['لاحول ولا قوة الا بالله العلي العظيم \nلاحول ولا قوة الا بالله العلي العظيم \nلاحول ولا قوة الا بالله العلي العظيم \nلاحول ولا قوة الا بالله العلي العظيم \nلاحول ولا قوة الا بالله العلي العظيم \nلاحول ولا قوة الا بالله العلي العظيم\nلاحول ولا قوة الا بالله العلي العظيم\n #الليث'],Related,Sympathy and emotional support,Al Lith floods
[1066481162405720064],['سيول الليث https://t.co/OAMeKkNHrH'],Not related,Not applicable,Al Lith floods
[1066481063416012800],['#الليث سلام عليكم  اخوني اخوتي انا اعمل في حفر الارض واخراج السواك من شجر الارك. واذهب بها لبيعها عند المساجد وفي هذا العمل مخاطر الافاعي والعقارب لم اكمل تعليمي اعمل وانا عمري ٩ سنين بسسب الظروف اتمنا ان تصل رسالتي لمن يساعدني ولدي ما يثبت كلامي اتمنا المساعده ولو بدعوه https://t.co/ryNWreW7mX'],Not related,Not applicable,Al Lith floods
[1066481052775055364],['قمة الرعب خط رجلك يا ولد 😱😱\n #الليث https://t.co/Rb1P14uhMP'],Not related,Not applicable,Al Lith floods
[1066480631885045760],['خليك متل المشاهير واحصل على اجمل ابتسامه في مجمع الفوزان الطبي للاستفسار 0552547232-0530276462 \n#كذبة_عروض_البلاك_فرايدي #الاعلام_لاينجرف_خلف_المهاترات #حدد_موقعك_الان_وين #الليث https://t.co/1DlwKQP8kB'],Not related,Not applicable,Al Lith floods
[1066480373050339328],['تصوير لسد وادي #الليث بعد الكارثة\nو رؤية مكان الكسر و الأنهيار و الإشارة إليه بوضوح.. \n\nإليك اخي عبدالله\n\n@alamattaqs https://t.co/SuQb85EEoN'],Related,Infrastructure and utilities damage,Al Lith floods
[1066480170733903872],"['إذا قرأتها ، أعد تغريدها ♥️\n\nسُبحان الله وبحمده      \nعدد خلقه - ورضا نفسه - وزنة عرشه\nومداد كلماته ..\n\nسُبحان الله وبحمده  \nعدد خلقه - ورضا نفسه - وزنة عرشه\nومداد كلماته ..\n\nسُبحان الله وبحمده   \nعدد خلقه - ورضا نفسه - وزنة عرشه\nومداد كلماته ..\n\n #الليث']",Not related,Not applicable,Al Lith floods
[1066480040081264643],['تواصل #بلدية_الليث حاليًا نزح  مياه الأمطار والسيول المنقولة بعد دخولها إلى محافظة الليث من الجهة الشرقية؛ وذلك نتيجة انهيار سد الليث الترابي. https://t.co/69WfsTj0AY'],Related,Infrastructure and utilities damage,Al Lith floods
[1066479864520294400],['حزين جدا جدا جدا لحال الشباب أرجع أيها الليث أسعد عشاقك ومحبيك رؤيتك وأنت بهذا الحال لا تسر \nالمهم والله مغبون من الشباب لا تكتيك ولا روح ولاعبين تتمشى بالملعب والله حراام والأجانب ماشي الحال آه بس والله مقهور #الشباب_النصر'],Not related,Not applicable,Al Lith floods
[1066479859420020736],"['أمير  مكة يوجّه بتشكيل لجنة للإيواء بمحافظة #الليث عقب أضرار الأمطار. مكونة من المالية"" و""المدني"" والمحافظة بمشاركة الشرطة.. وتم إسكان 250 أسرة.. https://t.co/SAm1JlCNEK']""",Related,Donations and volunteering,Al Lith floods
[1066479841191571456],"['بسبب محاصرتها بالتجمعات المائية التي تشكِّل خطرًا على الطلاب.. \nعدد من قادة المدارس في #الليث"" يعلقون الدراسة غدًا. https://t.co/gydSLoRAiV']""",Related,Caution and advice,Al Lith floods
[1066479839224434689],['هل هذا سد عقم ترابي سد وادي الليث \nهذي يبغا لها سلمان الحزم ومحمد الحزم🇸🇦 \nالليث تغرق عشر سنوات للعمل والحصيله عقم ترابي https://t.co/8BIIXOTw9O'],Related,Caution and advice,Al Lith floods
[1066479791241609216],['مقطع حصري لسد وادي الليث صورته لكم أيها الاحباب .. https://t.co/8TSFZrRz1s'],Related,Not applicable,Al Lith floods
[1066479657787318272],['ابطال فريق السلام @alsalamteamsa  في قلب الحدث #الليث https://t.co/rOERrUbC2C'],Related,Not applicable,Al Lith floods
[1066479395307757568],['#فرقة_الانقاذ_والسلامة\n بمحافظة الليث  مع محافظ محافظة الليث  بعد مشاركتهم في عملية الانقاذ بالمحافظة وعلى يسار القباع أحد المتطوعين ومنسوبين أوقاف الليث الاخ / #مريزيق_البجالي فلهم منا خالص الود والمحبه على مقدموه من تضحيات جليلة أظهرت وفائهم وتفانيهم وإخلاصهم  لمحافظتهم الغالية https://t.co/9teqxg6L0M'],Related,Donations and volunteering,Al Lith floods
[1066479356938207232],['@alamudi_n \n@SaudiTransport \n@makkahregion \n@SaudiNews50 \n@AjelNews24\nهكذا أصبح بعض أجزاء طريق سفوح الجبال المار بقرية أتانة التابعة لمركز الرهوة بمحافظة الليث بمنطقة مكة المكرمة بعد تعرضه لسيول يوم الجمعة ٣/١٥ \nوالتي كشفت بدورها عن ضعف التخطيط لمثل هذه الطرق ووضعها بوسط الاودية https://t.co/SF0LqOUFp1'],Related,Infrastructure and utilities damage,Al Lith floods
[1066478955895631878],['وين الصديق اللي على الكود جزام\nالليث بواج الخطر بالظلامي\n\nعلى الفضيلة يبدل المشى درهام\nوعن الرذيله ينحرف بانهزامي'],Not related,Not applicable,Al Lith floods
[1066478949998440448],['الشاعر د. صالح العلوي ..( الليث الحبيبة ) بمناسبة سيل الليث ١٥ /٣ / ١٤٤٠ https://t.co/EnYIovgAAG'],Not related,Not applicable,Al Lith floods
[1066478925159849984],['بمتابعة أمير مكة #خالد_الفيصل ونائبه #عبدالله_بن_بندر\nلجنة حصر أضرار الأمطار في محافظة\n#الليث تباشر تسكين المتضررين وتقدم\nالإعاشة لهم \n.. دعت اللجنة المتضررين لمراجعة مقرها\nفي المحافظة للاستفادة من خدماتها\n#إمارة_مكة https://t.co/VdhUYjLN0e'],Related,Donations and volunteering,Al Lith floods
[1066478749087133696],['وادي الليث سال اليوم الجمعة ١٥ ربيع الأول للمرة الثانية خلال اسبوعين سيل تاريخي https://t.co/vExrQSZm2h'],Related,Other useful information,Al Lith floods
[1066478464251961344],['وصلنا ولله الحمد بعد قضاء كشته جميله ورائعه بفضل الله .. \nكانت مابين وادي العرج وحقال والماء الحار .. \nيوم الامس للتاريخ هطول مطري للتاريخ وسيول وادي الليث ..!  حكايه واجمل حكايه ..\nاستسلاااام للارهاق 🏃🏻\u200d♂️ \n👋 https://t.co/WK664rUotR'],Not related,Not applicable,Al Lith floods
[1066478450909810688],['محافظة الليث بعد مداهمة السيل ليلة البارحه السبت 23 نوفمبر 2018 https://t.co/02PF0Nsgkb'],Related,Infrastructure and utilities damage,Al Lith floods
[1066478440327667712],"['جمعية البر بالليث تدعوكم للوقوف مع أخوانكم المتضررين من سيول #الليث\nو المساهمة في تغطية الاحتياجات من (بطانيات، وفرش) وما إلى ذلك...\nونستقبل زكواتكم لدفعها للفقراء من أجل تحسين أوضاعهم\n.\nالحسابات البنكية:\nراجحي/ 270608010000993\nأهلي/ 15249858000102\n#المستقبل_في_جمله https://t.co/KeAttwqMxE']",Related,Donations and volunteering,Al Lith floods
[1066478298815975425],['مااشير بداخل الدائره قد تكون له فرصه من الاان وحتى الصباح وقد تكون قرية القطان او شاطي السيف  بينما تستمر الاامطار هذي الليله وحتى صباح الغد على الرياض والهفوف والشرقيه والفرصه قائمه من الليث وحتى جنوب القنفذه باامطار متوسطه كما قد تتاثر جيزان باامطار خفيفه والله واحده اعلم https://t.co/b0We8c2A8p'],Related,Caution and advice,Al Lith floods
[1066478172261236737],['#ملتقى_زهران_العناصي \nنجاة محمد حسن صقران الظهيري الزهراني وعائلته من سيول الليث اليوم \n\nالحمد لله على سلامتهم https://t.co/nqomN9CcfX'],Related,Affected individuals,Al Lith floods
[1066477985442738176],['أمير #مكة_المكرمة يوجّه بتشكيل لجنة للإيواء بمحافظة الليث عقب الأمطار الغزيرة على المنطقة وماخلفته من أضرار. https://t.co/8uKdv2bwAf'],Related,Donations and volunteering,Al Lith floods
[1066477829418876928],['شاهد.. جندي بحرس الحدود ينقذ أسرة داهمتها السيول في #الليث\nhttps://t.co/VJ9aMB2AlL'],Related,Affected individuals,Al Lith floods
[1066477815862824960],"['بعد بث راسائل نصية لأولياء الأمور ...\nتعليق الدراسة غداً الأحد في عدد من مدارس التعليم العام في #الليث""\n#مكة https://t.co/JgfJ6Jc01V']""",Related,Caution and advice,Al Lith floods
[1066477750456905728],['@saeedalmhabi @alliethcity @saudimomra @SaudiMOH @JeddahAmanah @moe_gov_sa الليث ماتحتاج زيارات من مسولين الليث تحتاج وقفة أهلها الرجال الغيورين الأوفياء المخلصين اللي يخافون الله كم مسؤل زار محافظه الليث وكم رئيس حضر لها وماذا فعل لاشئ غير أنه وجد وجبات له مفطحات وكله تمام ياريس الوضع كل مسؤل اداره في الليث يحتاج الى محاسبه واولهم محافظ الليث'],Related,Caution and advice,Al Lith floods
[1066477748334534661],['وادي شال فعلا سال!!! شرق محافظه الليث \nعم بخيره البلاد والعباد\nhttps://t.co/VGM9fF4QU8'],Related,Not applicable,Al Lith floods
[1066477625214947329],['#الليث\nلحظة إنكسار سد وادي الليث الله يلطف بالعباد https://t.co/6EVpM2rmbz'],Related,Infrastructure and utilities damage,Al Lith floods
[1066477581107675136],['@saeedalmhabi @saudimomra @SaudiMOH @JeddahAmanah @moe_gov_sa الليث في كارثة والمسئولين نايمين إلى متى والمواطنين في الليث آخر اهتمام للمسئولين الليث فيه الآلاف الأرواح ولايجدون مسئولاً حكوميا واحدا واقف معهم ولماذا لانجد دعم ومساندة من المدن المجاورة ل الليث'],Related,Not applicable,Al Lith floods
[1066477539361722371],['@saeedalmhabi @ahmedalobeidi @saudimomra @SaudiMOH @JeddahAmanah @moe_gov_sa ألا تستحق الليث \nان يزورها امير المنطقة ويطمئن على أهلها\nويقف على الاضرار الواقعة\nويأمر الجهات بمحاسبة المقصرين'],Related,Not applicable,Al Lith floods
[1066477522051874817],['@saeedalmhabi @alliethcity @saudimomra @SaudiMOH @JeddahAmanah @moe_gov_sa ياسيد يابوهاشم الليث تحتاج رجال يأخذون كل الطلبات والاحتياجات والذهاب بها الى ولي الامر ومقابلته هذا مايحتاجه الليث أما زيارات من مسؤلين كفايا'],Related,Caution and advice,Al Lith floods
[1066477493765488640],['من داخل طيران الأمن اثناء إنقاذ شخصين من الجنسية الهندية كانا محتجزين في سيل وادي #الليث في مكة المكرمة https://t.co/evqaYQiCxY'],Related,Affected individuals,Al Lith floods
[1066477485032964096],['@saeedalmhabi @saudimomra @SaudiMOH @JeddahAmanah @moe_gov_sa كل الشكر والتقدير أخي سعيد على كل الجهود التي تبذلها من أجل هذه المدينة الصغيرة #الليث التي تستحق وقفه جميع رجالها من أجل أن تنال الاهتمام الذي تستحقه ولا شك.'],Related,Not applicable,Al Lith floods
[1066477358906056704],['سيل وادي شال شرق الليث \nكأنها سيل نهر جارف لايتوقف \n تذكرت رياضة ركوب القوارب الخطره الإنحدار\n في بعد مجاري أنهار شمال شرق أميركا \n https://t.co/9T5BFagV8e'],Related,Caution and advice,Al Lith floods
[1066477201829371904],['🔴\nمع اشراقة صباح اليوم ظهرت اثار سيول وادي الليث بعد انهيار السد الترابي ودخول السيول الى المحافظة ليلة البارحة .\n السبت ١٦ ربيع الاول ١٤٤٠هـ\nمتابعة | علي العمري\n.\n. https://t.co/k5GvYsloSo'],Related,Infrastructure and utilities damage,Al Lith floods
[1066476755500892162],['📌| 🎥\n\nتصوير من داخل طائرة #طيران_الأمن لعملية إنقاذ شخصين محتجزين بوسط سيل وادي #الليث .\n\nظروف مناخية صعبة جدا .. \nوبكن بعون الله عزيمة (الأبطال) لها دائما \n\n#سيول_مكة #امطار_مكة #السعودية\n#امطار_الرياض_الان  #رجال_الامن https://t.co/Ch4vOM2Ydr'],Related,Affected individuals,Al Lith floods
[1066476601666404352],['#السعودية_للكهرباء : جريان سيول وادي الليث تعوق حركة فرق الصيانة لإعادة التيار الكهربائي لبعض الأجزاء من المحافظة. والشركة ملتزمة بتكثيف الجهود لإعادة الخدمة للمشتركين المتأثرين في أسرع وقت ممكن. https://t.co/dWs1shZih6'],Related,Infrastructure and utilities damage,Al Lith floods
[1066476529495011329],['ويرهب ناب الليث والليث وحده \n\nفكيف إذا كان الليوث له صحبا.\n\nتجري الرياح كما تجري سفينتنا \nنحن الرياح ونحن البحر والسفن #السعودية العظمى https://t.co/anV4jlOW7Z'],Not related,Not applicable,Al Lith floods
[1066476360590340098],['شاهد | 🔴⛈️\nمقطع جديد من احد المنازل التي داهمتها السيول في #الليث مساء الجمعه \n\nتابعونا بكُل جديد في عالم الطقس 👈@ArabiaWeatherSA\n#الليث https://t.co/GdZAwnVxTm'],Related,Infrastructure and utilities damage,Al Lith floods
[1066476131283595264],['@baladiahallith اعانكم الله يا بلديه الليث \nمجهودات تشكرو عليها \nبس ياريت تطلبو دعم من الامانه وايضا مكافحه البعوض لاتنسو'],Not related,Not applicable,Al Lith floods
[1066476043127660546],['لحظة هجوم السيل عل مدينة الليث و استنفار الاجهزة الحكومية لإنقاذ المواطنين https://t.co/3OMi82a2Km'],Related,Infrastructure and utilities damage,Al Lith floods
[1066476007207641089],['جندي بـ #حرس_الحدود ينقذ أسرة داهمتها #السيول في #محافظة_الليث (صورة) https://t.co/EGlUgiziQb https://t.co/BS1Iwu51HE'],Related,Affected individuals,Al Lith floods
[1066475412698685440],['وفيات في الابل من سيل الليث زيادة على أن بعض السيارات منكوبة https://t.co/4fB83HwhLq'],Related,Affected individuals,Al Lith floods
[1066475408483332097],['بدء تسكين المتضررين وتقديم الإعاشة لمتضرري سيول #الليث\n\n https://t.co/wO9YZOGynO'],Related,Donations and volunteering,Al Lith floods
[1066475205835534336],"['@karezma7761 @Liga4Arabia تراكم فايزين واحد صفر ، تعلم من الليث حتى الهدف السادس ما لقوا له مكان عشان يسجلونه بشاشه الملعب 😂 https://t.co/QNSeESTPhM']",Not related,Not applicable,Al Lith floods
[1066475128488366085],"['إعلامي سعودي يتوعّد بقتل لاعب من على شاشة قناة 24 السعودية!!\n\nإذا كان رب البيت بالمنشار قاتلاً\nفما حيلة أهل الطبول إلا الرقصُ\n\nالمملكة صارت مخيفة، قتل في السفارات وفي السجون حتى في الإعلام الرياضي!\nاللهم أنقذ بلدك الحرام من حثالة الإجرام والقتل 💔\U0001f932🏻\n\n#الليث\n#النصر_الشباب https://t.co/UhhztSED8w']",Not related,Not applicable,Al Lith floods
[1066474969650073601],"['السلامة عليكم أهلنا بـ #الليث ❤️، أحياناً السيل يخبرنا برسالة بأنه لم نعد طريقة بشكل جيد"" لـ مسكنه البحر !. لعلها تصل. 📩🕊 https://t.co/JYEmUFTRC5']""",Related,Caution and advice,Al Lith floods
